episode_id,emotion_id,user_id,created
9279985,33,22659137,2023-09-04 12:31:12 +0000 UTC
8355786,34,22659137,2023-01-28 21:45:44 +0000 UTC
8987962,31,22659137,2023-05-10 19:18:18 +0000 UTC
9333705,30,22659137,2022-10-08 12:51:28 +0000 UTC
9138258,30,22659137,2022-11-17 11:56:07 +0000 UTC
6678940,38,22659137,2022-12-15 09:28:02 +0000 UTC
7330252,28,22659137,2023-07-11 20:45:55 +0000 UTC
7579002,28,22659137,2022-12-19 23:05:45 +0000 UTC
8467162,28,22659137,2023-06-28 20:33:55 +0000 UTC
9882277,29,22659137,2023-11-28 14:12:35 +0000 UTC
9797411,28,22659137,2023-06-22 17:15:55 +0000 UTC
9100823,30,22659137,2023-01-03 08:48:12 +0000 UTC
8324652,30,22659137,2023-01-28 19:27:03 +0000 UTC
9476213,37,22659137,2023-02-01 21:23:14 +0000 UTC
8791894,28,22659137,2022-11-11 08:15:14 +0000 UTC
6576181,30,22659137,2022-12-29 00:29:59 +0000 UTC
8287133,31,22659137,2023-01-03 23:00:46 +0000 UTC
9476217,33,22659137,2023-02-08 22:37:14 +0000 UTC
7620105,28,22659137,2022-10-30 09:47:09 +0000 UTC
1084201,32,22659137,2023-12-29 22:15:31 +0000 UTC
9010227,37,22659137,2023-03-10 23:34:59 +0000 UTC
9743651,31,22659137,2023-10-20 22:09:53 +0000 UTC
6778611,29,22659137,2022-10-14 20:48:45 +0000 UTC
8830735,28,22659137,2023-02-01 21:22:49 +0000 UTC
9607714,28,22659137,2023-03-27 21:40:44 +0000 UTC
4919990,28,22659137,2022-10-27 19:31:41 +0000 UTC
9079002,30,22659137,2023-04-22 12:57:21 +0000 UTC
7110141,28,22659137,2022-12-30 13:47:10 +0000 UTC
6778623,28,22659137,2022-10-19 21:02:45 +0000 UTC
8791889,31,22659137,2022-11-06 00:54:20 +0000 UTC
9642557,28,22659137,2023-05-26 20:02:12 +0000 UTC
9138258,37,22659137,2022-11-17 11:56:11 +0000 UTC
9590369,31,22659137,2023-04-07 18:44:52 +0000 UTC
9797406,28,22659137,2023-06-13 20:44:41 +0000 UTC
6778614,30,22659137,2022-10-16 22:46:33 +0000 UTC
7537283,31,22659137,2022-12-15 14:49:59 +0000 UTC
9765173,28,22659137,2023-07-22 13:59:40 +0000 UTC
9082147,29,22659137,2023-01-04 22:52:14 +0000 UTC
9642554,33,22659137,2023-05-10 19:58:06 +0000 UTC
9238602,30,22659137,2023-01-22 22:34:22 +0000 UTC
9797410,33,22659137,2023-06-21 20:49:43 +0000 UTC
9986630,33,22659137,2023-11-28 14:11:39 +0000 UTC
9160494,37,22659137,2022-12-24 13:28:05 +0000 UTC
8485174,33,22659137,2022-11-19 14:37:30 +0000 UTC
7110137,39,22659137,2022-12-30 12:40:56 +0000 UTC
9607715,29,22659137,2023-03-27 21:42:29 +0000 UTC
9435217,28,22659137,2023-03-17 23:02:06 +0000 UTC
9743656,32,22659137,2023-10-26 20:50:16 +0000 UTC
6576179,30,22659137,2022-12-28 23:52:11 +0000 UTC
9238600,31,22659137,2023-01-20 08:32:27 +0000 UTC
9138252,28,22659137,2022-11-13 22:16:31 +0000 UTC
7485560,29,22659137,2022-09-02 15:35:45 +0000 UTC
5765513,30,22659137,2022-12-03 15:26:32 +0000 UTC
9435217,37,22659137,2023-03-17 23:02:07 +0000 UTC
9300505,37,22659137,2022-09-06 20:42:35 +0000 UTC
8681177,33,22659137,2023-03-21 22:16:38 +0000 UTC
9505046,28,22659137,2023-03-21 23:04:35 +0000 UTC
6610101,28,22659137,2022-12-04 13:40:41 +0000 UTC
9564626,28,22659137,2023-07-03 21:13:10 +0000 UTC
9564626,34,22659137,2023-07-03 21:13:15 +0000 UTC
9138254,28,22659137,2022-11-14 20:14:29 +0000 UTC
9010227,30,22659137,2023-03-10 23:34:55 +0000 UTC
7620102,30,22659137,2022-10-26 23:09:06 +0000 UTC
9079005,35,22659137,2023-04-30 17:42:18 +0000 UTC
9577090,28,22659137,2023-02-11 12:34:06 +0000 UTC
9010229,30,22659137,2023-03-12 22:42:28 +0000 UTC
5748834,28,22659137,2022-11-28 22:54:23 +0000 UTC
9010226,37,22659137,2023-03-10 22:42:32 +0000 UTC
9759689,28,22659137,2023-09-08 09:08:33 +0000 UTC
9082155,30,22659137,2023-01-11 23:54:20 +0000 UTC
9476219,37,22659137,2023-02-09 21:20:12 +0000 UTC
6647385,33,22659137,2022-12-05 22:35:33 +0000 UTC
6778626,37,22659137,2022-10-20 23:11:37 +0000 UTC
6104952,28,22659137,2022-10-09 20:55:47 +0000 UTC
9706785,33,22659137,2023-04-18 21:30:11 +0000 UTC
6678940,28,22659137,2022-12-15 09:27:43 +0000 UTC
4919988,28,22659137,2022-10-25 20:22:40 +0000 UTC
9303195,33,22659137,2023-11-19 11:16:40 +0000 UTC
8791891,31,22659137,2022-11-08 16:18:23 +0000 UTC
9288822,29,22659137,2022-08-22 22:21:27 +0000 UTC
9971637,33,22659137,2023-11-19 22:47:31 +0000 UTC
9685345,37,22659137,2023-04-10 17:54:33 +0000 UTC
9288823,28,22659137,2022-08-22 23:17:01 +0000 UTC
9138252,37,22659137,2022-11-13 22:16:29 +0000 UTC
9079008,35,22659137,2023-05-03 22:16:14 +0000 UTC
9607713,37,22659137,2023-03-26 22:23:55 +0000 UTC
5755397,28,22659137,2022-12-02 20:25:59 +0000 UTC
9435218,28,22659137,2023-03-19 21:48:48 +0000 UTC
6690283,28,22659137,2022-12-05 12:32:35 +0000 UTC
7092410,35,22659137,2022-08-21 12:05:08 +0000 UTC
6172297,32,22659137,2022-10-11 21:09:56 +0000 UTC
9706788,33,22659137,2023-04-19 21:47:35 +0000 UTC
8324652,28,22659137,2023-01-28 19:27:00 +0000 UTC
6172293,33,22659137,2022-10-10 12:35:26 +0000 UTC
9303194,33,22659137,2023-11-15 14:07:40 +0000 UTC
9607719,28,22659137,2023-03-29 21:27:14 +0000 UTC
9303193,33,22659137,2023-11-15 14:08:12 +0000 UTC
9303192,39,22659137,2023-11-15 14:09:09 +0000 UTC
9765173,32,22659137,2023-07-22 13:59:41 +0000 UTC
9607718,30,22659137,2023-03-28 20:51:16 +0000 UTC
10002432,37,22659137,2023-10-01 20:20:19 +0000 UTC
1084211,33,22659137,2023-12-29 22:16:12 +0000 UTC
7579000,28,22659137,2022-12-18 10:38:29 +0000 UTC
8791892,28,22659137,2022-11-08 20:58:51 +0000 UTC
9564625,28,22659137,2023-07-03 20:27:43 +0000 UTC
6576181,28,22659137,2022-12-29 00:30:01 +0000 UTC
9706786,33,22659137,2023-04-19 18:32:23 +0000 UTC
9238603,30,22659137,2023-01-23 09:35:51 +0000 UTC
8320011,37,22659137,2023-11-04 23:12:19 +0000 UTC
9577090,33,22659137,2023-02-11 12:34:07 +0000 UTC
9564642,37,22659137,2023-06-10 11:59:28 +0000 UTC
6576176,28,22659137,2022-12-28 23:19:14 +0000 UTC
9010222,31,22659137,2023-03-07 23:02:36 +0000 UTC
9931637,30,22659137,2023-09-25 20:15:09 +0000 UTC
9765174,28,22659137,2023-07-27 06:18:21 +0000 UTC
9476213,35,22659137,2023-02-01 21:23:10 +0000 UTC
8197081,30,22659137,2023-01-24 21:42:37 +0000 UTC
7110139,28,22659137,2022-12-30 13:08:49 +0000 UTC
9743651,39,22659137,2023-10-20 22:09:52 +0000 UTC
9577091,28,22659137,2023-02-12 21:20:35 +0000 UTC
9564628,28,22659137,2023-07-05 12:35:20 +0000 UTC
9564630,37,22659137,2023-07-05 21:48:36 +0000 UTC
8371186,30,22659137,2023-01-28 23:06:17 +0000 UTC
7036615,33,22659137,2022-12-29 01:04:18 +0000 UTC
7620097,28,22659137,2022-10-23 10:54:33 +0000 UTC
7620097,33,22659137,2022-10-23 10:54:31 +0000 UTC
9505051,28,22659137,2023-03-25 19:47:22 +0000 UTC
7070899,33,22659137,2022-12-29 21:50:34 +0000 UTC
9303186,33,22659137,2023-11-19 10:51:49 +0000 UTC
7620104,30,22659137,2022-10-28 21:23:30 +0000 UTC
9288825,37,22659137,2022-08-23 00:09:12 +0000 UTC
7579004,28,22659137,2022-12-20 22:21:51 +0000 UTC
8320006,33,22659137,2023-11-01 22:10:27 +0000 UTC
9100817,33,22659137,2022-12-31 12:39:38 +0000 UTC
7485560,39,22659137,2022-09-02 15:35:42 +0000 UTC
9005054,33,22659137,2022-12-31 12:09:28 +0000 UTC
6778626,28,22659137,2022-10-20 23:11:43 +0000 UTC
6104952,33,22659137,2022-10-09 20:55:45 +0000 UTC
9765175,35,22659137,2023-08-11 11:32:38 +0000 UTC
1084221,33,22659137,2023-12-30 13:34:42 +0000 UTC
5626064,28,22659137,2022-11-28 14:40:52 +0000 UTC
9577091,37,22659137,2023-02-12 21:20:36 +0000 UTC
10002433,28,22659137,2023-10-06 12:15:34 +0000 UTC
9505046,30,22659137,2023-03-21 23:04:32 +0000 UTC
6538598,38,22659137,2022-12-03 23:57:28 +0000 UTC
9607712,37,22659137,2023-03-26 13:21:27 +0000 UTC
9160492,28,22659137,2022-12-23 01:10:28 +0000 UTC
8791893,28,22659137,2022-11-09 23:00:50 +0000 UTC
9079007,35,22659137,2023-05-03 22:16:02 +0000 UTC
9743658,33,22659137,2023-11-05 10:54:43 +0000 UTC
7620098,28,22659137,2022-10-23 22:46:49 +0000 UTC
8444132,30,22659137,2023-02-21 23:51:15 +0000 UTC
9564639,33,22659137,2023-06-05 20:38:19 +0000 UTC
9577092,33,22659137,2023-02-15 21:48:11 +0000 UTC
9931638,32,22659137,2023-09-30 13:38:51 +0000 UTC
9577093,37,22659137,2023-02-16 22:34:37 +0000 UTC
7620099,29,22659137,2022-10-24 08:25:23 +0000 UTC
9765176,35,22659137,2023-08-11 11:34:00 +0000 UTC
9685348,31,22659137,2023-04-11 21:03:12 +0000 UTC
9079006,33,22659137,2023-05-01 12:27:59 +0000 UTC
9742979,28,22659137,2023-10-20 21:22:36 +0000 UTC
9564638,31,22659137,2023-06-05 20:37:22 +0000 UTC
8791889,34,22659137,2022-11-06 00:54:26 +0000 UTC
8485174,37,22659137,2022-11-19 14:37:32 +0000 UTC
9010226,28,22659137,2023-03-10 22:42:32 +0000 UTC
9607715,30,22659137,2023-03-27 21:42:27 +0000 UTC
9247262,39,22659137,2022-10-03 21:45:15 +0000 UTC
9607717,28,22659137,2023-03-28 11:32:53 +0000 UTC
8580927,29,22659137,2022-09-05 18:46:23 +0000 UTC
7110141,30,22659137,2022-12-30 13:47:14 +0000 UTC
6576139,37,22659137,2022-12-27 00:40:00 +0000 UTC
9082149,31,22659137,2023-01-06 10:29:21 +0000 UTC
7110136,28,22659137,2022-12-30 12:09:28 +0000 UTC
9247264,37,22659137,2022-10-05 20:24:18 +0000 UTC
9068877,30,22659137,2023-04-22 12:19:12 +0000 UTC
7620100,28,22659137,2022-10-24 13:21:58 +0000 UTC
9247263,37,22659137,2022-10-05 20:25:54 +0000 UTC
9564629,30,22659137,2023-07-05 20:40:22 +0000 UTC
9160492,37,22659137,2022-12-23 01:10:30 +0000 UTC
7578999,28,22659137,2022-12-17 23:33:16 +0000 UTC
9435215,30,22659137,2023-02-27 21:29:04 +0000 UTC
9247265,29,22659137,2022-10-06 13:18:39 +0000 UTC
9082148,37,22659137,2023-01-05 14:16:38 +0000 UTC
6678437,30,22659137,2022-12-06 13:16:25 +0000 UTC
9138254,37,22659137,2022-11-14 20:14:31 +0000 UTC
9160489,28,22659137,2022-12-22 10:57:15 +0000 UTC
6576173,37,22659137,2022-12-28 16:14:17 +0000 UTC
8371186,32,22659137,2023-01-28 23:06:16 +0000 UTC
9082152,28,22659137,2023-01-07 21:59:12 +0000 UTC
9685349,28,22659137,2023-04-12 19:56:49 +0000 UTC
9082153,32,22659137,2023-01-08 21:57:50 +0000 UTC
9435218,29,22659137,2023-03-19 21:48:46 +0000 UTC
9303189,32,22659137,2023-11-18 13:23:01 +0000 UTC
9986631,33,22659137,2023-12-03 14:05:29 +0000 UTC
9797408,32,22659137,2023-06-16 13:46:32 +0000 UTC
9457880,33,22659137,2023-06-12 21:58:21 +0000 UTC
8791888,28,22659137,2022-10-31 13:33:28 +0000 UTC
5748838,37,22659137,2022-11-30 00:14:15 +0000 UTC
9685345,36,22659137,2023-04-10 17:54:31 +0000 UTC
9300512,37,22659137,2022-09-10 10:30:03 +0000 UTC
8868129,30,22659137,2022-11-23 10:00:00 +0000 UTC
9765177,33,22659137,2023-08-11 12:22:54 +0000 UTC
6778614,35,22659137,2022-10-16 22:46:34 +0000 UTC
9931635,33,22659137,2023-09-07 11:10:13 +0000 UTC
9743653,29,22659137,2023-10-25 19:58:44 +0000 UTC
9247268,28,22659137,2022-10-07 12:56:34 +0000 UTC
6778620,30,22659137,2022-10-17 14:57:04 +0000 UTC
6636942,28,22659137,2022-12-05 12:29:22 +0000 UTC
5765514,37,22659137,2022-12-03 22:43:56 +0000 UTC
9577092,37,22659137,2023-02-15 21:48:09 +0000 UTC
9986636,28,22659137,2023-12-03 14:06:04 +0000 UTC
9882275,32,22659137,2023-11-22 12:47:28 +0000 UTC
9577094,37,22659137,2023-02-17 23:30:02 +0000 UTC
4919989,32,22659137,2022-10-27 19:31:27 +0000 UTC
9687833,30,22659137,2023-04-13 19:52:52 +0000 UTC
6172297,28,22659137,2022-10-11 21:09:59 +0000 UTC
9160488,39,22659137,2022-12-21 23:03:04 +0000 UTC
9238599,31,22659137,2023-01-19 13:28:02 +0000 UTC
9082151,28,22659137,2023-01-06 23:37:39 +0000 UTC
9882278,29,22659137,2023-11-28 14:13:09 +0000 UTC
5001793,33,22659137,2022-10-27 20:47:27 +0000 UTC
6893990,19,22659137,2019-06-23 09:39:08 +0000 UTC
6778622,30,22659137,2022-10-18 21:21:50 +0000 UTC
8324651,28,22659137,2023-01-26 21:19:04 +0000 UTC
6778625,30,22659137,2022-10-20 13:31:50 +0000 UTC
9247268,37,22659137,2022-10-07 12:56:37 +0000 UTC
9476216,35,22659137,2023-02-06 13:31:04 +0000 UTC
9010223,31,22659137,2023-03-08 12:31:32 +0000 UTC
9010222,28,22659137,2023-03-07 23:02:38 +0000 UTC
6778614,29,22659137,2022-10-16 22:46:24 +0000 UTC
8868133,37,22659137,2022-11-24 23:28:04 +0000 UTC
9505049,28,22659137,2023-03-24 13:49:12 +0000 UTC
9607716,30,22659137,2023-03-27 21:47:30 +0000 UTC
9882279,32,22659137,2023-11-28 15:17:39 +0000 UTC
9706787,33,22659137,2023-04-19 18:32:41 +0000 UTC
5626064,37,22659137,2022-11-28 14:40:49 +0000 UTC
6576179,28,22659137,2022-12-28 23:52:08 +0000 UTC
5101005,29,22659137,2022-10-30 22:49:40 +0000 UTC
6778620,28,22659137,2022-10-17 14:57:00 +0000 UTC
6778619,28,22659137,2022-10-17 13:48:38 +0000 UTC
9505047,33,22659137,2023-03-22 22:33:37 +0000 UTC
8759471,31,22659137,2023-01-17 08:32:13 +0000 UTC
9685346,37,22659137,2023-04-10 17:54:57 +0000 UTC
9685347,28,22659137,2023-04-11 20:36:00 +0000 UTC
7070899,28,22659137,2022-12-29 21:50:33 +0000 UTC
9564631,32,22659137,2023-07-06 12:13:23 +0000 UTC
9882280,30,22659137,2023-11-30 19:18:13 +0000 UTC
9476217,31,22659137,2023-02-08 22:37:11 +0000 UTC
9100822,28,22659137,2023-01-02 14:35:31 +0000 UTC
6677615,33,22659137,2022-12-05 22:40:48 +0000 UTC
9986640,30,22659137,2023-12-17 14:26:50 +0000 UTC
8571459,31,22659137,2023-03-26 12:34:19 +0000 UTC
9505050,30,22659137,2023-03-25 15:09:19 +0000 UTC
9238602,31,22659137,2023-01-22 22:34:25 +0000 UTC
9435212,30,22659137,2023-02-23 23:40:06 +0000 UTC
9882274,33,22659137,2023-11-18 13:24:38 +0000 UTC
9476219,28,22659137,2023-02-09 21:20:09 +0000 UTC
6610101,34,22659137,2022-12-04 13:40:38 +0000 UTC
9010225,28,22659137,2023-03-09 22:43:50 +0000 UTC
9238600,28,22659137,2023-01-20 08:32:23 +0000 UTC
9288833,37,22659137,2022-08-24 09:45:05 +0000 UTC
9100820,28,22659137,2023-01-02 11:21:36 +0000 UTC
9303185,37,22659137,2023-11-05 15:31:33 +0000 UTC
9082155,28,22659137,2023-01-11 23:54:16 +0000 UTC
9986635,28,22659137,2023-12-03 14:05:51 +0000 UTC
9607720,30,22659137,2023-04-03 09:16:05 +0000 UTC
8522047,28,22659137,2023-06-02 17:44:21 +0000 UTC
9238601,28,22659137,2023-01-21 12:29:35 +0000 UTC
9782581,33,22659137,2023-07-12 23:01:37 +0000 UTC
6678438,32,22659137,2022-12-07 16:18:38 +0000 UTC
9303191,33,22659137,2023-11-15 14:10:10 +0000 UTC
9782581,37,22659137,2023-07-12 23:01:36 +0000 UTC
9138256,34,22659137,2022-11-15 20:42:50 +0000 UTC
9797409,28,22659137,2023-06-19 13:21:54 +0000 UTC
5765511,28,22659137,2022-12-02 21:22:19 +0000 UTC
9159818,37,22659137,2022-12-21 22:10:42 +0000 UTC
9160491,37,22659137,2022-12-22 13:52:45 +0000 UTC
9476217,37,22659137,2023-02-08 22:37:38 +0000 UTC
9079004,35,22659137,2023-04-27 20:09:38 +0000 UTC
5748834,31,22659137,2022-11-28 22:54:26 +0000 UTC
6778625,28,22659137,2022-10-20 13:31:52 +0000 UTC
7687400,30,22659137,2023-10-28 23:08:27 +0000 UTC
7104155,19,22659137,2019-06-09 14:29:41 +0000 UTC
9765179,35,22659137,2023-08-28 12:16:08 +0000 UTC
9797405,33,22659137,2023-06-13 20:44:35 +0000 UTC
1199791,32,22659137,2023-12-30 13:35:18 +0000 UTC
9564628,37,22659137,2023-07-05 12:35:22 +0000 UTC
9564626,37,22659137,2023-07-03 21:13:15 +0000 UTC
9082154,29,22659137,2023-01-09 13:15:22 +0000 UTC
9577092,28,22659137,2023-02-15 21:48:07 +0000 UTC
9797407,33,22659137,2023-06-16 13:46:17 +0000 UTC
9354873,33,22659137,2023-02-11 11:30:54 +0000 UTC
9577090,37,22659137,2023-02-11 12:34:08 +0000 UTC
10002431,28,22659137,2023-09-30 13:37:21 +0000 UTC
9333705,28,22659137,2022-10-08 12:51:31 +0000 UTC
9564640,28,22659137,2023-06-06 21:39:04 +0000 UTC
9303186,28,22659137,2023-11-19 10:51:48 +0000 UTC
9986640,33,22659137,2023-12-17 14:26:51 +0000 UTC
9564642,33,22659137,2023-06-10 11:59:27 +0000 UTC
6778622,28,22659137,2022-10-18 21:21:47 +0000 UTC
9505049,29,22659137,2023-03-24 13:49:10 +0000 UTC
9303192,28,22659137,2023-11-15 14:09:12 +0000 UTC
4919987,29,22659137,2022-10-20 23:14:44 +0000 UTC
10002429,28,22659137,2023-09-24 22:00:02 +0000 UTC
9765177,35,22659137,2023-08-11 11:32:10 +0000 UTC
1084201,33,22659137,2023-12-29 22:15:33 +0000 UTC
9217099,33,22659137,2023-04-16 12:43:04 +0000 UTC
7330252,33,22659137,2023-07-11 20:45:53 +0000 UTC
5765513,28,22659137,2022-12-03 15:26:32 +0000 UTC
8830735,35,22659137,2023-02-01 21:22:50 +0000 UTC
9765175,31,22659137,2023-08-11 11:32:37 +0000 UTC
9882274,39,22659137,2023-11-18 13:24:43 +0000 UTC
9303186,32,22659137,2023-11-19 10:51:49 +0000 UTC
6576139,33,22659137,2022-12-27 00:40:02 +0000 UTC
6576170,33,22659137,2022-12-27 13:51:11 +0000 UTC
9138257,28,22659137,2022-11-16 21:23:42 +0000 UTC
7088256,28,22659137,2022-12-29 21:51:02 +0000 UTC
6104951,31,22659137,2022-10-09 14:03:15 +0000 UTC
9010224,37,22659137,2023-03-09 08:51:44 +0000 UTC
9706783,29,22659137,2023-04-17 20:14:12 +0000 UTC
9303190,33,22659137,2023-11-18 13:21:24 +0000 UTC
9505051,33,22659137,2023-03-25 19:47:25 +0000 UTC
10002428,32,22659137,2023-09-09 20:46:36 +0000 UTC
5765514,28,22659137,2022-12-03 22:43:50 +0000 UTC
9642558,28,22659137,2023-05-27 11:14:18 +0000 UTC
8355786,28,22659137,2023-01-28 21:45:42 +0000 UTC
9607718,28,22659137,2023-03-28 20:51:16 +0000 UTC
9138258,28,22659137,2022-11-17 11:56:10 +0000 UTC
9160490,28,22659137,2022-12-22 11:48:29 +0000 UTC
9288825,32,22659137,2022-08-23 00:09:19 +0000 UTC
8829338,28,22659137,2022-10-03 09:50:10 +0000 UTC
9100823,28,22659137,2023-01-03 08:48:14 +0000 UTC
9435211,30,22659137,2023-02-23 22:28:16 +0000 UTC
6576173,33,22659137,2022-12-28 16:14:15 +0000 UTC
9435216,32,22659137,2023-02-27 22:36:44 +0000 UTC
9160493,28,22659137,2022-12-23 15:48:05 +0000 UTC
8318242,33,22659137,2022-08-25 22:06:07 +0000 UTC
9435214,28,22659137,2023-02-27 21:28:37 +0000 UTC
9100820,33,22659137,2023-01-02 11:21:37 +0000 UTC
9505045,33,22659137,2023-03-20 21:26:52 +0000 UTC
7088256,33,22659137,2022-12-29 21:51:02 +0000 UTC
