tv_show_name,tv_show_id,created_at,active,archived,user_id
My Wife and Kids,70329,2022-12-26 15:48:36,1,0,22659137
The Simpsons,71663,2018-08-11 03:39:56,1,0,22659137
American Dad!,73141,2018-08-11 03:39:56,1,0,22659137
The Office (US),73244,2020-12-19 23:16:47,1,0,22659137
Malcolm in the Middle,73838,2020-03-20 13:15:23,1,0,22659137
Futurama,73871,2020-03-20 13:15:31,1,0,22659137
South Park,75897,2018-08-11 03:39:56,1,0,22659137
Family Guy,75978,2018-08-11 03:39:56,1,0,22659137
Friends,79168,2022-01-21 11:20:25,1,0,22659137
Death Note,79481,2018-08-11 03:45:03,1,0,22659137
America's Got Talent,79490,2019-06-23 09:38:43,1,1,22659137
Breaking Bad,81189,2018-08-11 04:04:12,1,0,22659137
One Piece,81797,2018-10-05 19:02:34,1,0,22659137
Sons of Anarchy,82696,2022-10-22 21:43:05,1,0,22659137
Fullmetal Alchemist: Brotherhood,85249,2018-08-11 03:51:20,1,0,22659137
Game of Thrones,121361,2018-08-16 01:08:08,1,0,22659137
Sherlock,176941,2018-08-16 01:10:37,1,0,22659137
3%,250749,2018-08-11 03:47:09,1,1,22659137
Hunter x Hunter (2011),252322,2020-06-11 10:00:11,1,0,22659137
Top Boy,253138,2022-08-07 17:27:31,1,0,22659137
Black Mirror,253463,2018-11-13 18:20:15,1,0,22659137
American Gods,253573,2019-03-22 20:40:34,1,1,22659137
Arrow,257655,2023-06-21 17:42:03,1,1,22659137
Sword Art Online,259640,2021-04-19 21:27:09,1,1,22659137
Vikings,260449,2018-08-16 01:08:15,1,0,22659137
Attack on Titan,267440,2021-03-09 11:01:17,1,0,22659137
Sense8,268156,2018-08-14 05:42:05,1,0,22659137
The 100,268592,2018-08-11 03:40:13,1,0,22659137
Brooklyn Nine-Nine,269586,2020-03-20 13:19:06,1,0,22659137
Fargo,269613,2018-08-11 03:51:07,1,0,22659137
Outlander,270408,2022-10-20 23:14:05,1,0,22659137
Peaky Blinders,270915,2018-08-11 03:40:29,1,0,22659137
Better Call Saul,273181,2018-08-11 03:39:56,1,0,22659137
Rick and Morty,275274,2018-08-11 13:42:22,1,0,22659137
Marvel's Daredevil,281662,2018-08-11 03:39:56,1,0,22659137
BoJack Horseman,282254,2023-01-02 14:45:11,1,0,22659137
Narcos,282670,2018-08-11 03:46:53,1,1,22659137
Assassination Classroom,283947,2018-08-14 05:45:23,1,0,22659137
Marvel's Jessica Jones,284190,2018-08-11 03:46:58,1,0,22659137
F is for Family,287299,2021-03-09 11:03:54,1,0,22659137
Quantico,295515,2018-08-11 03:40:36,1,0,22659137
Lucifer,295685,2019-09-04 17:38:11,1,0,22659137
Westworld,296762,2018-08-11 03:40:55,1,0,22659137
Marvel's Luke Cage,304219,2018-08-11 03:48:46,1,1,22659137
My Hero Academia,305074,2021-03-09 11:02:05,1,1,22659137
Stranger Things,305288,2018-08-11 03:39:56,1,0,22659137
Travelers (2016),314544,2022-12-26 15:45:38,1,0,22659137
Marvel's Iron Fist,317953,2018-08-11 03:48:27,1,1,22659137
Legion,320724,2018-08-11 03:41:11,1,0,22659137
Marvel's The Defenders,326490,2018-08-11 03:47:05,1,0,22659137
Money Heist,327417,2018-08-11 03:39:56,1,0,22659137
MINDHUNTER,328708,2020-03-20 13:18:49,1,0,22659137
Ozark,329089,2022-10-09 14:03:05,1,0,22659137
Marvel's The Punisher,331980,2018-08-11 03:47:04,1,0,22659137
Altered Carbon,332331,2018-08-11 03:40:41,1,0,22659137
Cobra Kai,332858,2021-04-04 19:01:55,1,0,22659137
Barry,333072,2022-10-08 21:05:05,1,0,22659137
Dark,334824,2019-09-15 19:27:10,1,0,22659137
Tom Clancy's Jack Ryan,336261,2021-03-09 11:02:46,1,0,22659137
You,336924,2020-12-19 23:23:46,1,1,22659137
The Rain,341704,2018-08-14 05:41:52,1,0,22659137
Lost in Space (2018),343253,2018-08-11 03:40:49,1,0,22659137
Impulse,344995,2018-09-01 10:31:36,1,0,22659137
The Haunting,345246,2020-12-31 09:01:51,1,0,22659137
Elite,346328,2019-03-26 20:12:25,1,1,22659137
Nightflyers,347648,2019-03-09 09:50:22,1,0,22659137
Paradise PD,348922,2019-01-15 12:13:12,1,0,22659137
Bodyguard (2018),349310,2019-08-01 11:53:53,1,0,22659137
The Umbrella Academy,353764,2019-03-22 20:40:10,1,0,22659137
The Boys,355567,2019-09-04 17:39:03,1,0,22659137
Doom Patrol,355622,2023-03-09 22:55:34,1,0,22659137
Sex Education,356317,2019-02-16 13:14:51,1,0,22659137
"Love, Death & Robots",357888,2022-08-07 17:29:02,1,0,22659137
Warrior,359326,2019-08-01 11:53:02,1,0,22659137
Formula 1: Drive to Survive,359913,2020-12-31 08:39:38,1,0,22659137
Chernobyl,360893,2019-06-09 01:06:29,1,0,22659137
How to Sell Drugs Online (Fast),361034,2020-12-31 09:02:24,0,0,22659137
The Society,361558,2019-06-09 01:08:32,1,0,22659137
Locke & Key,361594,2022-08-21 12:14:45,1,0,22659137
The Mandalorian,361753,2020-12-19 23:23:17,1,0,22659137
Loki,362472,2023-10-14 19:38:33,1,0,22659137
The Witcher,362696,2022-03-25 07:32:46,1,0,22659137
Extracurricular,362999,2022-03-25 07:33:18,1,0,22659137
Let's Go Quintuplets,363015,2020-12-31 08:59:21,0,0,22659137
Snowpiercer,364928,2020-12-31 08:58:56,1,0,22659137
The Sandman,366211,2022-08-21 12:11:35,1,0,22659137
Reacher,366924,2022-11-19 14:37:16,1,0,22659137
The I-Land,368387,2019-10-24 12:33:14,0,0,22659137
Living with Yourself,368523,2023-06-30 23:00:42,1,0,22659137
Mare of Easttown,370112,2023-01-24 21:42:29,1,0,22659137
Alex Rider,370312,2023-03-12 22:54:50,1,0,22659137
House of the Dragon,371572,2023-01-03 23:00:30,1,0,22659137
Severance,371980,2022-12-15 19:45:19,1,0,22659137
Lupin,375921,2021-03-09 11:11:43,1,0,22659137
Unorthodox,376122,2020-12-31 09:02:44,1,0,22659137
Alice in Borderland (2020),376472,2021-11-09 21:47:41,1,0,22659137
Outer Banks,379169,2020-12-31 08:58:30,0,0,22659137
Behind Her Eyes,380991,2021-03-09 11:01:43,1,1,22659137
Squid Game,383275,2021-10-03 01:27:51,1,0,22659137
The Queen's Gambit,387115,2020-12-31 08:39:23,1,0,22659137
Monster (2022),389492,2022-10-08 12:51:11,1,1,22659137
The Last of Us,392256,2023-02-21 23:51:02,1,0,22659137
ONE PIECE (2023),392276,2023-09-07 11:09:39,1,0,22659137
Citadel,393268,2023-05-10 19:18:00,1,0,22659137
Dealer,396319,2021-03-13 23:25:10,1,0,22659137
Wednesday,397060,2022-12-27 20:08:56,1,0,22659137
The Terminal List,399917,2023-03-04 08:38:54,1,0,22659137
A Spy Among Friends,402296,2023-01-17 08:32:02,1,0,22659137
Bloodhounds (2023),404093,2023-06-28 20:33:44,1,0,22659137
Black Knight,405921,2023-06-02 17:44:12,1,0,22659137
The Night Agent,407281,2023-03-26 12:34:10,1,0,22659137
Florida Man,408709,2023-04-16 12:42:57,1,0,22659137
Kaleidoscope (2023),410092,2023-03-20 21:26:25,1,0,22659137
The Marked Heart,418089,2023-04-22 12:18:55,1,1,22659137
Who is Erin Carter?,422814,2023-09-04 12:30:45,1,1,22659137
Physical: 100,424941,2023-02-11 11:30:47,1,0,22659137
FUBAR,427281,2023-06-12 21:58:05,1,0,22659137
Who Were We Running From?,430458,2023-04-07 18:44:40,1,0,22659137
Arnold,434748,2023-07-12 23:01:14,1,0,22659137
