order,EPISODE_ID,CREATED,EMOTION_ID,USER_ID,IS_DELETED,DB_UPDATE_TS,VOTE_KEY,set
"28,29,30,31,32,33,34,35,36,37,38,39",9279985,2023-09-04 12:31:12 +0000 UTC,33,22659137,0,2023-09-04 12:31:12 +0000 UTC,9279985-22659137-33,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",8355786,2023-01-28 21:45:44 +0000 UTC,34,22659137,0,2023-01-28 21:45:44 +0000 UTC,8355786-22659137-34,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",8987962,2023-05-10 19:18:18 +0000 UTC,31,22659137,0,2023-05-10 19:18:18 +0000 UTC,8987962-22659137-31,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9333705,2022-10-08 12:51:28 +0000 UTC,30,22659137,0,2022-10-08 12:51:28 +0000 UTC,9333705-22659137-30,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9138258,2022-11-17 11:56:07 +0000 UTC,30,22659137,0,2022-11-17 11:56:07 +0000 UTC,9138258-22659137-30,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",6678940,2022-12-15 09:28:02 +0000 UTC,38,22659137,0,2022-12-15 09:28:02 +0000 UTC,6678940-22659137-38,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",7330252,2023-07-11 20:45:55 +0000 UTC,28,22659137,0,2023-07-11 20:45:55 +0000 UTC,7330252-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",7579002,2022-12-19 23:05:45 +0000 UTC,28,22659137,0,2022-12-19 23:05:45 +0000 UTC,7579002-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",8467162,2023-06-28 20:33:55 +0000 UTC,28,22659137,0,2023-06-28 20:33:55 +0000 UTC,8467162-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9882277,2023-11-28 14:12:35 +0000 UTC,29,22659137,0,2023-11-28 14:12:35 +0000 UTC,9882277-22659137-29,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9797411,2023-06-22 17:15:55 +0000 UTC,28,22659137,0,2023-06-22 17:15:55 +0000 UTC,9797411-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9100823,2023-01-03 08:48:12 +0000 UTC,30,22659137,0,2023-01-03 08:48:12 +0000 UTC,9100823-22659137-30,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",8324652,2023-01-28 19:27:03 +0000 UTC,30,22659137,0,2023-01-28 19:27:03 +0000 UTC,8324652-22659137-30,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9476213,2023-02-01 21:23:14 +0000 UTC,37,22659137,0,2023-02-01 21:23:14 +0000 UTC,9476213-22659137-37,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",8791894,2022-11-11 08:15:14 +0000 UTC,28,22659137,0,2022-11-11 08:15:14 +0000 UTC,8791894-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",6576181,2022-12-29 00:29:59 +0000 UTC,30,22659137,0,2022-12-29 00:29:59 +0000 UTC,6576181-22659137-30,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",8287133,2023-01-03 23:00:46 +0000 UTC,31,22659137,0,2023-01-03 23:00:46 +0000 UTC,8287133-22659137-31,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9476217,2023-02-08 22:37:14 +0000 UTC,33,22659137,0,2023-02-08 22:37:14 +0000 UTC,9476217-22659137-33,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",7620105,2022-10-30 09:47:09 +0000 UTC,28,22659137,0,2022-10-30 09:47:09 +0000 UTC,7620105-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",1084201,2023-12-29 22:15:31 +0000 UTC,32,22659137,0,2023-12-29 22:15:31 +0000 UTC,1084201-22659137-32,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9010227,2023-03-10 23:34:59 +0000 UTC,37,22659137,0,2023-03-10 23:34:59 +0000 UTC,9010227-22659137-37,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9743651,2023-10-20 22:09:53 +0000 UTC,31,22659137,0,2023-10-20 22:09:53 +0000 UTC,9743651-22659137-31,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",6778611,2022-10-14 20:48:45 +0000 UTC,29,22659137,1,2022-10-14 20:48:47 +0000 UTC,6778611-22659137-29,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",8830735,2023-02-01 21:22:49 +0000 UTC,28,22659137,0,2023-02-01 21:22:49 +0000 UTC,8830735-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9607714,2023-03-27 21:40:44 +0000 UTC,28,22659137,0,2023-03-27 21:40:44 +0000 UTC,9607714-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",4919990,2022-10-27 19:31:41 +0000 UTC,28,22659137,0,2022-10-27 19:31:41 +0000 UTC,4919990-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9079002,2023-04-22 12:57:21 +0000 UTC,30,22659137,0,2023-04-22 12:57:21 +0000 UTC,9079002-22659137-30,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",7110141,2022-12-30 13:47:10 +0000 UTC,28,22659137,0,2022-12-30 13:47:10 +0000 UTC,7110141-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",6778623,2022-10-19 21:02:45 +0000 UTC,28,22659137,0,2022-10-19 21:02:45 +0000 UTC,6778623-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",8791889,2022-11-06 00:54:20 +0000 UTC,31,22659137,1,2022-11-06 00:54:27 +0000 UTC,8791889-22659137-31,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9642557,2023-05-26 20:02:12 +0000 UTC,28,22659137,0,2023-05-26 20:02:12 +0000 UTC,9642557-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9138258,2022-11-17 11:56:11 +0000 UTC,37,22659137,0,2022-11-17 11:56:11 +0000 UTC,9138258-22659137-37,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9590369,2023-04-07 18:44:52 +0000 UTC,31,22659137,0,2023-04-07 18:44:52 +0000 UTC,9590369-22659137-31,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9797406,2023-06-13 20:44:41 +0000 UTC,28,22659137,0,2023-06-13 20:44:41 +0000 UTC,9797406-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",6778614,2022-10-16 22:46:33 +0000 UTC,30,22659137,0,2022-10-16 22:46:33 +0000 UTC,6778614-22659137-30,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",7537283,2022-12-15 14:49:59 +0000 UTC,31,22659137,0,2022-12-15 14:49:59 +0000 UTC,7537283-22659137-31,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9765173,2023-07-22 13:59:40 +0000 UTC,28,22659137,1,2023-07-22 13:59:41 +0000 UTC,9765173-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9082147,2023-01-04 22:52:14 +0000 UTC,29,22659137,0,2023-01-04 22:52:14 +0000 UTC,9082147-22659137-29,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9642554,2023-05-10 19:58:06 +0000 UTC,33,22659137,0,2023-05-10 19:58:06 +0000 UTC,9642554-22659137-33,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9238602,2023-01-22 22:34:22 +0000 UTC,30,22659137,1,2023-01-22 22:34:25 +0000 UTC,9238602-22659137-30,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9797410,2023-06-21 20:49:43 +0000 UTC,33,22659137,0,2023-06-21 20:49:43 +0000 UTC,9797410-22659137-33,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9986630,2023-11-28 14:11:39 +0000 UTC,33,22659137,0,2023-11-28 14:11:39 +0000 UTC,9986630-22659137-33,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9160494,2022-12-24 13:28:05 +0000 UTC,37,22659137,0,2022-12-24 13:28:05 +0000 UTC,9160494-22659137-37,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",8485174,2022-11-19 14:37:30 +0000 UTC,33,22659137,0,2022-11-19 14:37:30 +0000 UTC,8485174-22659137-33,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",7110137,2022-12-30 12:40:56 +0000 UTC,39,22659137,0,2022-12-30 12:40:56 +0000 UTC,7110137-22659137-39,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9607715,2023-03-27 21:42:29 +0000 UTC,29,22659137,0,2023-03-27 21:42:29 +0000 UTC,9607715-22659137-29,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9435217,2023-03-17 23:02:06 +0000 UTC,28,22659137,0,2023-03-17 23:02:06 +0000 UTC,9435217-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9743656,2023-10-26 20:50:16 +0000 UTC,32,22659137,0,2023-10-26 20:50:16 +0000 UTC,9743656-22659137-32,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",6576179,2022-12-28 23:52:11 +0000 UTC,30,22659137,0,2022-12-28 23:52:11 +0000 UTC,6576179-22659137-30,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9238600,2023-01-20 08:32:27 +0000 UTC,31,22659137,0,2023-01-20 08:32:27 +0000 UTC,9238600-22659137-31,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9138252,2022-11-13 22:16:31 +0000 UTC,28,22659137,0,2022-11-13 22:16:31 +0000 UTC,9138252-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",7485560,2022-09-02 15:35:45 +0000 UTC,29,22659137,0,2022-09-02 15:35:45 +0000 UTC,7485560-22659137-29,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",5765513,2022-12-03 15:26:32 +0000 UTC,30,22659137,0,2022-12-03 15:26:32 +0000 UTC,5765513-22659137-30,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9435217,2023-03-17 23:02:07 +0000 UTC,37,22659137,0,2023-03-17 23:02:08 +0000 UTC,9435217-22659137-37,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9300505,2022-09-06 20:42:35 +0000 UTC,37,22659137,0,2022-09-06 20:42:35 +0000 UTC,9300505-22659137-37,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",8681177,2023-03-21 22:16:38 +0000 UTC,33,22659137,0,2023-03-21 22:16:38 +0000 UTC,8681177-22659137-33,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9505046,2023-03-21 23:04:35 +0000 UTC,28,22659137,0,2023-03-21 23:04:35 +0000 UTC,9505046-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",6610101,2022-12-04 13:40:41 +0000 UTC,28,22659137,0,2022-12-04 13:40:41 +0000 UTC,6610101-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9564626,2023-07-03 21:13:10 +0000 UTC,28,22659137,1,2023-07-03 21:13:14 +0000 UTC,9564626-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9564626,2023-07-03 21:13:15 +0000 UTC,34,22659137,0,2023-07-03 21:13:15 +0000 UTC,9564626-22659137-34,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9138254,2022-11-14 20:14:29 +0000 UTC,28,22659137,0,2022-11-14 20:14:30 +0000 UTC,9138254-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9010227,2023-03-10 23:34:55 +0000 UTC,30,22659137,0,2023-03-10 23:34:55 +0000 UTC,9010227-22659137-30,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",7620102,2022-10-26 23:09:06 +0000 UTC,30,22659137,0,2022-10-26 23:09:06 +0000 UTC,7620102-22659137-30,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9079005,2023-04-30 17:42:18 +0000 UTC,35,22659137,0,2023-04-30 17:42:18 +0000 UTC,9079005-22659137-35,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9577090,2023-02-11 12:34:06 +0000 UTC,28,22659137,0,2023-02-11 12:34:06 +0000 UTC,9577090-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9010229,2023-03-12 22:42:28 +0000 UTC,30,22659137,0,2023-03-12 22:42:28 +0000 UTC,9010229-22659137-30,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",5748834,2022-11-28 22:54:23 +0000 UTC,28,22659137,0,2022-11-28 22:54:23 +0000 UTC,5748834-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9010226,2023-03-10 22:42:32 +0000 UTC,37,22659137,0,2023-03-10 22:42:32 +0000 UTC,9010226-22659137-37,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9759689,2023-09-08 09:08:33 +0000 UTC,28,22659137,0,2023-09-08 09:08:33 +0000 UTC,9759689-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9082155,2023-01-11 23:54:20 +0000 UTC,30,22659137,0,2023-01-11 23:54:20 +0000 UTC,9082155-22659137-30,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9476219,2023-02-09 21:20:12 +0000 UTC,37,22659137,0,2023-02-09 21:20:12 +0000 UTC,9476219-22659137-37,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",6647385,2022-12-05 22:35:33 +0000 UTC,33,22659137,0,2022-12-05 22:35:33 +0000 UTC,6647385-22659137-33,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",6778626,2022-10-20 23:11:37 +0000 UTC,37,22659137,0,2022-10-20 23:11:37 +0000 UTC,6778626-22659137-37,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",6104952,2022-10-09 20:55:47 +0000 UTC,28,22659137,0,2022-10-09 20:55:47 +0000 UTC,6104952-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9706785,2023-04-18 21:30:11 +0000 UTC,33,22659137,0,2023-04-18 21:30:11 +0000 UTC,9706785-22659137-33,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",6678940,2022-12-15 09:27:43 +0000 UTC,28,22659137,0,2022-12-15 09:27:43 +0000 UTC,6678940-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",4919988,2022-10-25 20:22:40 +0000 UTC,28,22659137,0,2022-10-25 20:22:40 +0000 UTC,4919988-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9303195,2023-11-19 11:16:40 +0000 UTC,33,22659137,0,2023-11-19 11:16:40 +0000 UTC,9303195-22659137-33,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",8791891,2022-11-08 16:18:23 +0000 UTC,31,22659137,0,2022-11-08 16:18:23 +0000 UTC,8791891-22659137-31,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9288822,2022-08-22 22:21:27 +0000 UTC,29,22659137,0,2022-08-22 22:21:27 +0000 UTC,9288822-22659137-29,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9971637,2023-11-19 22:47:31 +0000 UTC,33,22659137,0,2023-11-19 22:47:31 +0000 UTC,9971637-22659137-33,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9685345,2023-04-10 17:54:33 +0000 UTC,37,22659137,0,2023-04-10 17:54:33 +0000 UTC,9685345-22659137-37,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9288823,2022-08-22 23:17:01 +0000 UTC,28,22659137,0,2022-08-22 23:17:01 +0000 UTC,9288823-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9138252,2022-11-13 22:16:29 +0000 UTC,37,22659137,0,2022-11-13 22:16:29 +0000 UTC,9138252-22659137-37,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9079008,2023-05-03 22:16:14 +0000 UTC,35,22659137,0,2023-05-03 22:16:14 +0000 UTC,9079008-22659137-35,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9607713,2023-03-26 22:23:55 +0000 UTC,37,22659137,0,2023-03-26 22:23:55 +0000 UTC,9607713-22659137-37,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",5755397,2022-12-02 20:25:59 +0000 UTC,28,22659137,0,2022-12-02 20:25:59 +0000 UTC,5755397-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9435218,2023-03-19 21:48:48 +0000 UTC,28,22659137,0,2023-03-19 21:48:48 +0000 UTC,9435218-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",6690283,2022-12-05 12:32:35 +0000 UTC,28,22659137,0,2022-12-05 12:32:35 +0000 UTC,6690283-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",7092410,2022-08-21 12:05:08 +0000 UTC,35,22659137,0,2022-08-21 12:05:08 +0000 UTC,7092410-22659137-35,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",6172297,2022-10-11 21:09:56 +0000 UTC,32,22659137,0,2022-10-11 21:09:56 +0000 UTC,6172297-22659137-32,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9706788,2023-04-19 21:47:35 +0000 UTC,33,22659137,0,2023-04-19 21:47:35 +0000 UTC,9706788-22659137-33,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",8324652,2023-01-28 19:27:00 +0000 UTC,28,22659137,0,2023-01-28 19:27:00 +0000 UTC,8324652-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",6172293,2022-10-10 12:35:26 +0000 UTC,33,22659137,0,2022-10-10 12:35:26 +0000 UTC,6172293-22659137-33,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9303194,2023-11-15 14:07:40 +0000 UTC,33,22659137,0,2023-11-15 14:07:40 +0000 UTC,9303194-22659137-33,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9607719,2023-03-29 21:27:14 +0000 UTC,28,22659137,0,2023-03-29 21:27:14 +0000 UTC,9607719-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9303193,2023-11-15 14:08:12 +0000 UTC,33,22659137,0,2023-11-15 14:08:12 +0000 UTC,9303193-22659137-33,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9303192,2023-11-15 14:09:09 +0000 UTC,39,22659137,0,2023-11-15 14:09:09 +0000 UTC,9303192-22659137-39,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9765173,2023-07-22 13:59:41 +0000 UTC,32,22659137,0,2023-07-22 13:59:41 +0000 UTC,9765173-22659137-32,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9607718,2023-03-28 20:51:16 +0000 UTC,30,22659137,0,2023-03-28 20:51:16 +0000 UTC,9607718-22659137-30,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",10002432,2023-10-01 20:20:19 +0000 UTC,37,22659137,0,2023-10-01 20:20:19 +0000 UTC,10002432-22659137-37,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",1084211,2023-12-29 22:16:12 +0000 UTC,33,22659137,0,2023-12-29 22:16:12 +0000 UTC,1084211-22659137-33,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",7579000,2022-12-18 10:38:29 +0000 UTC,28,22659137,0,2022-12-18 10:38:29 +0000 UTC,7579000-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",8791892,2022-11-08 20:58:51 +0000 UTC,28,22659137,0,2022-11-08 20:58:51 +0000 UTC,8791892-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9564625,2023-07-03 20:27:43 +0000 UTC,28,22659137,0,2023-07-03 20:27:43 +0000 UTC,9564625-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",6576181,2022-12-29 00:30:01 +0000 UTC,28,22659137,0,2022-12-29 00:30:01 +0000 UTC,6576181-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9706786,2023-04-19 18:32:23 +0000 UTC,33,22659137,0,2023-04-19 18:32:23 +0000 UTC,9706786-22659137-33,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9238603,2023-01-23 09:35:51 +0000 UTC,30,22659137,0,2023-01-23 09:35:51 +0000 UTC,9238603-22659137-30,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",8320011,2023-11-04 23:12:19 +0000 UTC,37,22659137,0,2023-11-04 23:12:19 +0000 UTC,8320011-22659137-37,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9577090,2023-02-11 12:34:07 +0000 UTC,33,22659137,0,2023-02-11 12:34:07 +0000 UTC,9577090-22659137-33,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9564642,2023-06-10 11:59:28 +0000 UTC,37,22659137,0,2023-06-10 11:59:28 +0000 UTC,9564642-22659137-37,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",6576176,2022-12-28 23:19:14 +0000 UTC,28,22659137,0,2022-12-28 23:19:14 +0000 UTC,6576176-22659137-28,12_all
"28,29,30,31,32,33,34,35,36,37,38,39",9010222,2023-03-07 23:02:36 +0000 UTC,31,22659137,0,2023-03-07 23:02:36 +0000 UTC,9010222-22659137-31,12_all
